name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Evening Ride,2021-03-14T19:16:10Z,Ride,21171.0,2974,00:50:29,180.0,,,7.119,19:16:10,2021-03-14,2021-03-08,13.1579,590.55,00:49:34,,15.92
Serious question,2021-03-12T12:03:28Z,Ride,18993.0,3294,00:57:59,117.0,,,5.766,12:03:28,2021-03-12,2021-03-08,11.8042,383.86,00:54:54,,12.9
Beautiful day. Hard run.,2021-03-11T11:35:06Z,Run,11946.0,3136,00:55:33,102.0,,,3.8089999999999997,11:35:06,2021-03-11,2021-03-08,7.4245,334.65,00:52:16,07:02,8.52
Two kids in a bike trailer,2021-03-10T11:49:47Z,Ride,17071.0,2961,00:50:03,108.0,,,5.765,11:49:47,2021-03-10,2021-03-08,10.6097,354.33,00:49:21,,12.9
"What is this, college?",2021-03-09T18:55:49Z,Ride,26012.0,3205,00:54:31,154.0,,,8.116,18:55:49,2021-03-09,2021-03-08,16.1666,505.25,00:53:25,,18.16
Passed the exam,2021-03-09T14:34:47Z,Ride,2677.0,459,00:08:00,48.0,,,5.832000000000001,14:34:47,2021-03-09,2021-03-08,1.6638,157.48,00:07:39,,13.05
Downtown for work exam,2021-03-09T12:31:06Z,Ride,2979.0,427,00:07:49,3.0,,,6.977,12:31:06,2021-03-09,2021-03-08,1.8515,9.84,00:07:07,,15.61
Outside. On a bike.,2021-03-08T11:19:23Z,Ride,21626.0,2874,00:50:39,100.0,153.9,215.0,7.525,11:19:23,2021-03-08,2021-03-08,13.4406,328.08,00:47:54,,16.83
Watch bug,2021-03-07T11:52:42Z,Run,2512.0,695,00:11:49,12.0,,,3.614,11:52:42,2021-03-07,2021-03-01,1.5612,39.37,00:11:35,07:25,8.08
Mr. Adams himself,2021-03-07T10:56:44Z,Run,9126.0,2439,00:52:07,54.0,,,3.742,10:56:44,2021-03-07,2021-03-01,5.6718,177.17,00:40:39,07:10,8.37
Lunch Ride,2021-03-05T12:42:27Z,Ride,24450.0,3000,00:50:00,0.0,,,8.15,12:42:27,2021-03-05,2021-03-01,15.1958,0.0,00:50:00,,18.23
Lunch Ride,2021-03-04T11:40:14Z,Ride,20752.0,2701,00:50:11,0.0,,,7.683,11:40:14,2021-03-04,2021-03-01,12.8975,0.0,00:45:01,,17.19
Sap taps,2021-03-02T11:49:12Z,Run,4671.0,1337,00:34:36,51.0,,,3.4939999999999998,11:49:12,2021-03-02,2021-03-01,2.903,167.32,00:22:17,07:40,7.82
Lunch Ride,2021-03-01T11:52:24Z,Ride,25221.0,3302,00:55:02,0.0,,,7.638,11:52:24,2021-03-01,2021-03-01,15.675,0.0,00:55:02,,17.09
Afternoon Run,2021-02-27T14:15:54Z,Run,3361.0,919,00:15:32,51.0,,,3.657,14:15:54,2021-02-27,2021-02-22,2.0889,167.32,00:15:19,07:19,8.18
Ugh,2021-02-26T11:12:39Z,Ride,51517.0,7267,02:24:50,3.0,,,7.0889999999999995,11:12:39,2021-02-26,2021-02-22,32.018,9.84,02:01:07,,15.86
Evening Ride,2021-02-25T18:59:16Z,Ride,14237.0,1807,00:30:54,0.0,,,7.879,18:59:16,2021-02-25,2021-02-22,8.8484,0.0,00:30:07,,17.62
Fun in the sun,2021-02-23T13:42:11Z,Run,12021.0,3042,00:51:20,72.0,,,3.952,13:42:11,2021-02-23,2021-02-22,7.4711,236.22,00:50:42,06:47,8.84
Though pretty; not fun,2021-02-18T17:55:15Z,Run,37099.0,14762,04:16:54,60.0,,,2.513,17:55:15,2021-02-18,2021-02-15,23.0572,196.85,04:06:02,10:40,5.62
Back on it ,2021-02-17T19:07:47Z,Ride,13298.0,1827,00:30:27,9.0,,,7.279,19:07:47,2021-02-17,2021-02-15,8.2648,29.53,00:30:27,,16.28
The SUN,2021-02-16T12:23:53Z,Run,8647.0,2516,00:43:38,39.0,,,3.437,12:23:53,2021-02-16,2021-02-15,5.3741,127.95,00:41:56,07:48,7.69
I need to find my yaktrax,2021-02-15T12:19:27Z,Run,13733.0,3799,01:05:54,75.0,,,3.615,12:19:27,2021-02-15,2021-02-15,8.5351,246.06,01:03:19,07:25,8.09
Cold wind off the lake,2021-02-14T12:35:33Z,Run,11378.0,3038,00:52:41,66.0,162.1,181.0,3.745,12:35:33,2021-02-14,2021-02-08,7.0715,216.54,00:50:38,07:09,8.38
Errands at UPS,2021-02-11T13:16:16Z,Run,5233.0,1466,00:29:20,28.0,,,3.57,13:16:16,2021-02-11,2021-02-08,3.2523,91.86,00:24:26,07:30,7.99
Afternoon Run,2021-02-10T13:26:36Z,Run,5123.0,1435,00:23:59,24.0,,,3.57,13:26:36,2021-02-10,2021-02-08,3.184,78.74,00:23:55,07:30,7.99
